ID,Trial,Audio File (if applicable),Location,Day of Trial,Conditions (CC %),Subject,Playback,Track #,Start,End,Response,R1,R2,R3,R4
Point 106B,,Notes,Tres Cruces,8/5/2023,50,S. schulenbergi,S. atratus,6,6:20 AM,6:53 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 107A,1,Notes,Tres Cruces,8/4/2023,90,S. simonsi,S. schulenbergi,2,7:58 AM,8:30 AM,Y,Y,N,N,Y
Point 107A,2,Notes,Tres Cruces,8/5/2023,55,S. simonsi,S. atratus,1,7:53 AM,8:23 AM,N,N,N,N,N
Point 107A,3,Notes,Tres Cruces,8/6/2023,60,S. simonsi,S. simonsi,3,8:08 AM,8:39 AM,Y,Y,Y,Y,Y
Point 107A,4,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. parvirostris,5,8:08 AM,8:43 AM,Y,Y,N,N,Y
,,,,,,,,,,,,,,,
Point 107B,1,Notes,Tres Cruces,8/4/2023,90,S. schulenbergi,S. schulenbergi,2,7:58 AM,8:30 AM,Y,N,N,Y,Y
Point 107B,2,Notes,Tres Cruces,8/5/2023,55,S. schulenbergi,S. atratus,1,7:53 AM,8:23 AM,Y,Y,Y,Y,N
Point 107B,3,Notes,Tres Cruces,8/6/2023,60,S. schulenbergi,S. simonsi,3,8:08 AM,8:39 AM,Y,Y,N,Y,Y
Point 107B,4,Notes,Tres Cruces,8/8/2023,70,S. schulenbergi,S. parvirostris,5,8:08 AM,8:43 AM,Y,N,N,N,Y
,,,,,,,,,,,,,,,
Point 108,1,Notes,Tres Cruces,8/4/2023,65,S. schulenbergi,S. atratus,5,8:58 AM,9:20 AM,N,N,N,N,NA
Point 108,2,Notes,Tres Cruces,8/6/2023,65,S. schulenbergi,S. parvirostris,2,8:55 AM,9:25 AM,Y,Y,Y,N,Y
Point 108,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. simonsi,2,8:57 AM,9:20 AM,N,N,N,N,NA
Point 108,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,4,8:40 AM,9:13 AM,Y,N,N,Y,N
,,,,,,,,,,,,,,,
Point 109,1,Notes,Tres Cruces,8/6/2023,75,S. schulenbergi,S. atratus,3,9:38 AM,10:08 AM,Y,Y,N,Y,Y
Point 109,2,Notes,Tres Cruces,8/8/2023,75,S. schulenbergi,S. parvirostris,3,9:34 AM,10:04 AM,Y,N,Y,N,Y
Point 109,3,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,2,9:44 AM,10:14 AM,Y,Y,N,Y,N
,,,,,,,,,,,,,,,
Point 110,1,Notes,Tres Cruces,8/5/2023,100,S. schulenbergi,S. schulenbergi,4,9:55 AM,10:26 AM,Y,Y,N,N,N
Point 110,2,Notes,Tres Cruces,8/6/2023,100,S. schulenbergi,S. simonsi,4,10:20 AM,10:51 AM,Y,N,N,Y,N
Point 110,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. atratus,1,10:18 AM,10:48 AM,Y,Y,N,N,Y
Point 110,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. parvirostris,5,10:26 AM,10:50 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 111,1,Notes,Tres Cruces,8/5/2023,100,S. simonsi,S. parvirostris,3,2:38 PM,3:01 PM,N,N,N,N,NA
Point 111,2,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. schulenbergi,3,2:32 PM,2:54 PM,N,N,N,N,NA
Point 111,3,Notes,Tres Cruces,8/12/2023,100,S. simonsi,S. simonsi,2,2:22 PM,2:51 PM,Y,Y,N,Y,NA
,,,,,,,,,,,,,,,
Point 112,1,Notes,Tres Cruces,8/10/2023,30,S. schulenbergi,S. atratus,5,8:25 AM,8:56 AM,Y,Y,Y,Y,Y
Point 112,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. simonsi,1,8:33 AM,9:05 AM,Y,Y,N,N,N
Point 112,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,2,8:33 AM,8:56 AM,N,N,N,N,NA
Point 112,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,1,8:11 AM,8:34 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 113,1,Notes,Tres Cruces,8/10/2023,100,S. schulenbergi,S. simonsi,4,9:13 AM,9:44 AM,Y,Y,Y,Y,Y
Point 113,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. atratus,6,9:13 AM,9:48 AM,Y,Y,Y,N,N
Point 113,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,1,9:12 AM,9:42 AM,Y,N,Y,N,Y
Point 113,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,4,8:55 AM,9:19 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 114A,1,Notes,Tres Cruces,8/10/2023,0,S. simonsi,S. simonsi,6,6:55 AM,7:25 AM,Y,Y,N,N,N
Point 114A,2,Notes,Tres Cruces,8/11/2023,80,S. simonsi,S. parvirostris,5,7:00 AM,7:29 AM,N,N,N,N,N
Point 114A,3,Notes,Tres Cruces,8/12/2023,50,S. simonsi,S. atratus,1,6:54 AM,7:24 AM,Y,N,N,Y,N
Point 114A,4,Notes,Tres Cruces,8/13/2023,50,S. simonsi,S. schulenbergi,2,6:54 AM,7:23 AM,Y,N,N,N,Y
,,,,,,,,,,,,,,,
Point 114B,1,Notes,Tres Cruces,8/10/2023,0,S. schulenbergi,S. simonsi,6,6:55 AM,7:25 AM,Y,N,N,N,Y
Point 114B,2,Notes,Tres Cruces,8/11/2023,80,S. schulenbergi,S. parvirostris,5,7:00 AM,7:29 AM,Y,Y,Y,N,Y
Point 114B,3,Notes,Tres Cruces,8/12/2023,50,S. schulenbergi,S. atratus,1,6:54 AM,7:24 AM,Y,Y,Y,Y,Y
Point 114B,4,Notes,Tres Cruces,8/13/2023,50,S. schulenbergi,S. schulenbergi,2,6:54 AM,7:23 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
Point 115,1,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. schulenbergi,4,10:08 AM,10:38 AM,Y,N,Y,Y,Y
Point 115,2,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. simonsi,6,9:55 AM,10:25 AM,Y,Y,N,N,N
Point 115,3,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,3,9:35 AM,10:06 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
Point 116A,1,Notes,Tres Cruces,8/6/2023,40,S. simonsi,S. schulenbergi,1,7:25 AM,7:55 AM,Y,N,N,Y,N
Point 116A,2,Notes,Tres Cruces,8/8/2023,30,S. simonsi,S. atratus,5,7:28 AM,7:58 AM,Y,N,N,Y,N
Point 116A,3,Notes,Tres Cruces,8/9/2023,40,S. simonsi,S. parvirostris,3,7:32 AM,8:02 AM,Y,Y,N,Y,N
,,,,,,,,,,,,,,,
Point 116B,1,Notes,Tres Cruces,8/6/2023,40,S. schulenbergi,S. schulenbergi,1,7:25 AM,7:55 AM,Y,Y,N,N,N
Point 116B,2,Notes,Tres Cruces,8/8/2023,30,S. schulenbergi,S. atratus,5,7:28 AM,7:58 AM,Y,N,Y,N,Y
Point 116B,3,Notes,Tres Cruces,8/9/2023,40,S. schulenbergi,S. parvirostris,3,7:32 AM,8:02 AM,N,N,N,N,N
